agebin,month,Cases,Pop,Year,Run_Number,Sample_ID
100,6,0.8672976475209,827.6666666667,2018,0,18.0
5,7,0.7793090194464,171.7333333333,2018,0,18.0
100,7,0.9101512245834,828.8,2018,0,18.0
5,8,1.423556953669,170.9333333333,2018,0,18.0
100,8,3.436607155949,828.4333333333,2018,0,18.0
5,9,2.121270820498,172.0666666667,2018,0,18.0
100,9,4.475916679949,829.0666666667,2018,0,18.0
5,10,2.548594154418,176.6333333333,2018,0,18.0
100,10,3.890318963677,828.7666666667,2018,0,18.0
5,11,2.223491430283,175.1,2018,0,18.0
100,11,2.951363830827,828.6,2018,0,18.0
5,12,6.510356873274,173.8,2018,0,18.0
100,12,2.456773242913,827.0333333333,2018,0,18.0
5,1,1.547465406358,180.8333333333,2015,0,11.0
100,1,2.071230168454,840,2015,0,11.0
5,2,2.111401349306,178.6333333333,2015,0,11.0
100,2,2.071641159244,839.8333333333,2015,0,11.0
5,3,1.298202849925,178.0666666667,2015,0,11.0
100,3,1.984089234844,840.1,2015,0,11.0
5,4,1.458888530731,175.1333333333,2015,0,11.0
100,4,1.890967281535,842.8666666667,2015,0,11.0
5,5,1.807619094849,175,2015,0,11.0
100,5,1.616577073932,842.9333333333,2015,0,11.0
5,6,0.9628791809082,176.9,2015,0,11.0
100,6,1.616960719228,842.7333333333,2015,0,11.0
5,7,1.43163985759,178.4666666667,2015,0,11.0
100,7,1.819080809131,842.7333333333,2015,0,11.0
5,8,2.45286539197,178.5666666667,2015,0,11.0
100,8,3.297800760716,841.1666666667,2015,0,11.0
5,9,5.620593935251,179.6666666667,2015,0,11.0
100,9,5.209750274196,843.0666666667,2015,0,11.0
5,10,4.6287445575,181.3666666667,2015,0,11.0
100,10,4.030355687253,842.2333333333,2015,0,11.0
5,11,3.834450438619,184.0333333333,2015,0,11.0
100,11,2.717193312943,841.8,2015,0,11.0
5,12,3.412441730499,185.4,2015,0,11.0
100,12,2.677226155065,840.7333333333,2015,0,11.0
5,1,2.366288512945,185.1,2016,0,11.0
100,1,2.729916896671,842.3333333333,2016,0,11.0
5,2,2.351371198893,181.1,2016,0,11.0
100,2,2.739157825708,843.9333333333,2016,0,11.0
5,3,2.389637157321,178.2,2016,0,11.0
100,3,1.867816084996,846.8,2016,0,11.0
5,4,2.335340499878,177.1333333333,2016,0,11.0
100,4,2.166895961389,847.8333333333,2016,0,11.0
5,5,1.631892621517,178.9333333333,2016,0,11.0
100,5,1.858349405229,844.5666666667,2016,0,11.0
5,6,2.15140914917,180.9666666667,2016,0,11.0
100,6,2.267798522487,842.3,2016,0,11.0
5,7,1.350601315498,180.1666666667,2016,0,11.0
100,7,2.179578370415,842.9,2016,0,11.0
5,8,1.768872395158,178.8333333333,2016,0,11.0
100,8,2.980891140178,840.8,2016,0,11.0
5,9,3.848501555622,180.2,2016,0,11.0
100,9,5.253886675462,838.3,2016,0,11.0
5,10,3.412490710616,178.2666666667,2016,0,11.0
100,10,3.581000296399,835.8,2016,0,11.0
5,11,3.234351590276,176.8,2016,0,11.0
100,11,2.893478881568,836.7666666667,2016,0,11.0
5,12,4.683071777225,174.0666666667,2016,0,11.0
100,12,2.318154579028,834.5,2016,0,11.0
5,1,2.694773629308,171.5666666667,2017,0,11.0
100,1,2.182927262038,836.0333333333,2017,0,11.0
5,2,1.744741946459,174.3333333333,2017,0,11.0
100,2,1.903100321069,831.1,2017,0,11.0
5,3,2.111861184239,172.8333333333,2017,0,11.0
100,3,1.780701357871,833.5666666667,2017,0,11.0
5,4,2.209529489279,170.7,2017,0,11.0
100,4,1.917077858001,837.7333333333,2017,0,11.0
5,5,1.345034919679,171.8666666667,2017,0,11.0
100,5,1.440387438051,836.2333333333,2017,0,11.0
5,6,1.670799136162,174.7666666667,2017,0,11.0
100,6,1.35937690828,832.3666666667,2017,0,11.0
5,7,1.373988389969,177.1,2017,0,11.0
100,7,1.931294381618,831.5666666667,2017,0,11.0
5,8,1.17097569257,176.6333333333,2017,0,11.0
100,8,3.76408995688,833.9333333333,2017,0,11.0
5,9,1.682027578354,173.6,2017,0,11.0
100,9,4.128893397748,836.8666666667,2017,0,11.0
5,10,2.822346687317,172.4333333333,2017,0,11.0
100,10,3.894375785254,840.4,2017,0,11.0
5,11,2.620803542435,171.7666666667,2017,0,11.0
100,11,2.831697221845,842.1333333333,2017,0,11.0
5,12,5.318632163107,171.5666666667,2017,0,11.0
100,12,2.337708503008,843.1333333333,2017,0,11.0
